#format table ## [Custom WaveView] saved 15:00:04 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 9.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.103E-06 , 1.103E-06 
 9.130E-03 , 1.192E-07 , 1.192E-07 , 1.192E-07 , 1.348E+00 , 1.192E-07 , 1.348E+00 
 9.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.391E-06 , 1.348E+00 , 1.348E+00 
 9.230E-03 , 5.428E-08 , 5.428E-08 , 5.428E-08 , 1.348E+00 , 5.428E-08 , 5.427E-08 
 9.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.103E-06 , 1.103E-06 
 9.330E-03 , 1.187E-07 , 1.187E-07 , 1.187E-07 , 1.348E+00 , 1.187E-07 , 1.348E+00 
 9.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.390E-06 , 1.348E+00 , 1.348E+00 
 9.430E-03 , 1.191E-07 , 1.191E-07 , 1.191E-07 , 1.348E+00 , 1.191E-07 , 1.348E+00 
 9.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.390E-06 , 1.348E+00 , 1.348E+00 
 9.530E-03 , 1.190E-07 , 1.190E-07 , 1.190E-07 , 1.348E+00 , 1.190E-07 , 1.348E+00 
 9.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.391E-06 , 1.348E+00 , 1.348E+00 
 9.630E-03 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.348E+00 , 1.348E+00 , 1.096E-07 
 9.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.250E-06 , 1.348E+00 , 1.250E-06 
 9.730E-03 , 1.190E-07 , 1.190E-07 , 1.190E-07 , 1.348E+00 , 1.190E-07 , 1.348E+00 
 9.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.389E-06 , 1.348E+00 , 1.348E+00 
 9.830E-03 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.348E+00 , 1.348E+00 , 1.096E-07 
 9.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.250E-06 , 1.348E+00 , 1.250E-06 
 9.930E-03 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.348E+00 , 1.348E+00 , 1.096E-07 
 9.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.250E-06 , 1.348E+00 , 1.250E-06 
 1.003E-02 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.348E+00 , 1.348E+00 , 1.096E-07 
 1.008E-02 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.250E-06 , 1.348E+00 , 1.250E-06 
 1.013E-02 , 3.035E-07 , 3.035E-07 , 3.035E-07 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 1.018E-02 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.250E-06 , 1.250E-06 , 1.348E+00 
 1.023E-02 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.348E+00 , 1.348E+00 , 1.096E-07 
 1.028E-02 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.250E-06 , 1.250E-06 , 1.348E+00 
 1.033E-02 , 3.030E-07 , 3.030E-07 , 3.030E-07 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 1.038E-02 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.250E-06 , 1.250E-06 , 1.348E+00 
 1.043E-02 , 3.034E-07 , 3.034E-07 , 3.034E-07 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 1.048E-02 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.249E-06 , 1.249E-06 , 1.348E+00 
 1.053E-02 , 3.032E-07 , 3.032E-07 , 3.032E-07 , 1.348E+00 , 1.348E+00 , 1.348E+00 
